"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTJanuary 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",Total District 11,"1,821",69,494,853,0,416,25,441,249,172,0,287,405,41,326,131,3,1
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,140,38,12,107,-,65,7,72,35,21,0,53,52,0,31,12,0,0
12-2,Garrett,18,6,7,39,-,30,0,30,16,15,0,17,13,0,17,7,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,158,44,19,146,0,95,7,102,51,36,0,70,65,0,48,19,0,0
"",,,,,,,,,,,,,,,,,,,
"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTFebruary 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"10,883",476,"2,982","1,877",-,"2,087",712,"2,799","1,047",596,5,573,"1,389",110,"1,503","1,085",6,2
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,205,18,37,101,-,45,0,45,21,17,0,47,60,3,33,7,0,0
2-2,Somerset,223,22,42,85,-,35,3,38,14,13,0,42,56,2,26,10,2,0
2-3,Wicomico,937,54,299,569,-,332,10,342,114,499,0,379,349,25,162,78,1,0
2-4,Snow Hill,94,9,21,138,-,61,1,62,39,16,0,65,91,1,45,27,1,0
2-5,Ocean City,14,15,2,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,473",118,401,893,0,473,14,487,188,545,0,533,556,31,266,122,4,0
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,409,22,160,232,-,107,4,111,77,12,0,140,133,5,97,5,0,0
3-3,Kent,16,0,0,29,-,12,0,12,13,2,0,12,25,0,13,1,0,0
3-4,Queen Anne's,31,3,3,85,-,45,3,48,40,25,1,37,46,3,15,9,0,0
3-5,Talbot,38,7,21,61,-,34,5,39,24,17,0,40,44,1,19,7,0,0
3-6,Caroline,82,5,33,76,-,53,1,54,24,9,0,41,57,2,14,10,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,576,37,217,483,0,251,13,264,178,65,1,270,305,11,158,32,0,0
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,88,11,20,197,-,79,6,85,112,154,1,70,84,7,65,18,0,0
4-2,Charles,858,44,176,476,-,307,17,324,187,531,0,246,292,8,210,71,2,1
4-3,St. Mary's,383,36,119,187,-,107,4,111,67,32,1,96,120,5,64,21,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,"1,329",91,315,860,0,493,27,520,366,717,2,412,496,20,339,110,2,1
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"13,670",376,"2,130","2,770",-,"2,740",781,"3,521","1,502",418,12,726,"1,919",142,"1,324",405,6,2
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"3,904",117,739,"1,414",-,"1,550",434,"1,984",887,263,0,332,215,39,749,190,6,
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"4,039",46,290,"1,147",-,578,65,643,447,277,4,480,612,55,574,121,3,1
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"15,504",133,"4,253","2,450",-,"1,284",44,"1,328","1,016",83,1,948,"2,275",252,"1,063",481,0,0
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,257",40,416,502,-,409,19,428,240,0,3,266,343,55,295,43,1,0
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"2,196",51,"1,123",457,-,147,29,176,221,37,3,203,264,28,207,57,3,0
10-2,Carroll,199,20,52,289,-,137,11,148,92,7,0,145,147,5,96,21,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"2,395",71,"1,175",746,0,284,40,324,313,44,3,348,411,33,303,78,4,0
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,683,26,256,493,-,164,17,181,169,60,1,175,225,11,141,42,1,0
11-2,Washington,819,82,479,294,-,194,12,206,86,102,0,105,175,32,152,32,0,1
"",,,,,,,,,,,,,,,,,,,
"",Total District 11,"1,502",108,735,787,0,358,29,387,255,162,1,280,400,43,293,74,1,1
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,81,,0,116,-,57,5,62,23,17,1,45,52,1,30,12,1,1
12-2,Garrett,12,4,5,29,-,19,3,22,23,4,0,15,14,0,15,2,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,93,4,5,145,0,76,8,84,46,21,1,60,66,1,45,14,1,1
"",,,,,,,,,,,,,,,,,,,
"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTMarch 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"11,305",472,"3,808","2,359",-,"2,601",708,"3,309","1,294",580,8,593,"1,452",86,"1,799","1,464",9,7
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,207,52,126,104,-,83,2,85,19,9,0,61,95,13,31,15,0,0
2-2,Somerset,244,8,48,105,-,46,1,47,20,10,0,93,78,4,34,3,1,0
2-3,Wicomico,821,50,301,623,-,374,20,394,150,0,0,525,1,77,241,88,0,1
2-4,Snow Hill,81,8,28,151,-,83,5,88,57,19,3,141,46,12,54,29,1,1
2-5,Ocean City,14,18,4,0,-,0,0,0,0,0,0,0,69,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,367",136,507,983,0,586,28,614,246,38,3,820,289,106,360,135,2,2
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,343,19,142,242,-,154,4,158,104,67,0,146,148,4,142,44,0,0
3-3,Kent,14,0,0,34,-,30,1,31,13,6,0,18,33,0,14,6,0,0
3-4,Queen Anne's,38,4,17,94,-,43,4,47,49,10,0,36,70,1,12,15,0,0
3-5,Talbot,33,2,6,90,-,32,6,38,20,10,1,69,76,1,30,11,0,0
3-6,Caroline,75,6,27,83,-,51,1,52,24,12,0,66,73,5,23,13,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,503,31,192,543,0,310,16,326,210,105,1,335,400,11,221,89,0,0
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,62,21,22,184,-,71,12,83,101,15,0,104,117,20,46,26,2,0
4-2,Charles,593,56,354,513,-,334,28,362,225,67,0,264,371,21,223,101,1,2
4-3,St. Mary's,295,121,13,207,-,108,8,116,123,9,0,123,177,3,117,24,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,950,198,389,904,0,513,48,561,449,91,0,491,665,44,386,151,3,2
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"11,714",442,"2,703","3,234",-,"3,322",983,"4,305","1,777",650,8,943,"1,981",148,"1,632",493,8,9
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"4,060",81,827,"1,659",-,"1,656",451,"2,107",950,349,2,375,728,38,640,246,5,5
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"4,178",2,397,"1,124",-,607,57,664,636,498,4,652,775,56,607,137,1,1
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"14,222",140,"4,364","2,743",-,998,122,"1,120","1,436",451,4,"1,609","2,112",71,"1,972",273,0,0
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,455",51,560,546,-,330,20,350,315,106,1,312,350,26,213,79,1,0
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"2,069",71,"1,160",575,-,278,23,301,291,29,2,194,,,288,50,3,1
10-2,Carroll,210,19,53,235,-,145,9,154,161,4,0,149,142,10,90,45,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"2,279",90,"1,213",810,0,423,32,455,452,33,2,343,142,10,378,95,4,1
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,554,31,426,436,-,244,27,271,204,63,2,203,,,150,80,1,0
11-2,Washington,797,40,547,313,-,200,20,220,134,62,1,154,198,35,128,59,0,1
"",,,,,,,,,,,,,,,,,,,
"",Total District 11,"1,351",71,973,749,0,444,47,491,338,125,3,357,198,35,278,139,1,1
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,79,21,15,103,-,68,4,72,39,19,0,70,49,1,25,12,1,0
12-2,Garrett,16,7,7,47,-,10,0,10,23,0,0,22,12,2,15,13,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,95,28,22,150,0,78,4,82,62,19,0,92,61,3,40,25,1,0
"",,,,,,,,,,,,,,,,,,,
"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTApril 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"10,772",433,"2,546","2,118",-,"2,951",701,"3,652","1,367",892,8,675,"1,652",106,"1,889","1,396",5,12
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,205,23,52,99,-,79,4,83,10,10,0,70,85,9,43,22,1,1
2-2,Somerset,286,18,90,91,-,41,1,42,18,9,0,51,69,7,25,21,0,0
2-3,Wicomico,823,41,227,618,-,335,14,349,126,0,0,317,403,62,221,61,0,0
2-4,Snow Hill,75,11,25,145,-,47,3,50,51,11,0,65,112,2,61,18,0,0
2-5,Ocean City,10,11,4,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,399",104,398,953,0,502,22,524,205,30,0,503,669,80,350,122,1,1
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,408,20,128,193,-,197,6,203,81,30,0,134,146,4,137,43,2,0
3-3,Kent,25,2,0,38,-,52,21,73,12,5,0,38,21,0,10,5,0,0
3-4,Queen Anne's,27,2,11,74,-,46,2,48,30,9,0,48,42,2,16,23,0,0
3-5,Talbot,42,6,12,59,-,43,3,46,40,17,0,55,76,1,17,8,0,0
3-6,Caroline,54,4,12,84,-,34,2,36,27,0,0,63,56,4,16,16,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,556,34,163,448,0,372,34,406,190,61,0,338,341,11,196,95,2,0
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,75,15,27,153,-,101,10,111,100,0,0,145,98,16,66,28,1,0
4-2,Charles,733,57,203,631,-,302,25,327,232,132,0,354,376,30,209,148,3,2
4-3,St. Mary's,286,29,114,288,-,129,2,131,106,50,0,158,129,36,91,26,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,"1,094",101,344,"1,072",0,532,37,569,438,182,0,657,603,82,366,202,5,2
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"11,491",387,"2,359","3,366",-,"3,376",974,"4,350","1,842",625,3,"1,129","2,206",171,"1,744",463,16,7
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"3,551",62,625,"1,655",-,"1,768",420,"2,188",963,415,1,417,952,67,745,218,3,6
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"3,714",38,401,"1,243",-,609,62,671,667,58,3,639,705,47,610,225,3,2
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"14,096",189,"3,443","3,353",-,"1,029",157,"1,186","1,480",169,2,"1,790","1,642",184,"2,027",397,1,0
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,107",34,383,636,-,312,18,330,282,44,2,321,352,28,227,130,1,0
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"1,750",54,969,527,-,276,44,320,280,2,5,292,276,41,318,93,1,1
10-2,Carroll,173,25,38,293,-,134,14,148,136,17,0,158,138,8,86,53,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"1,923",79,"1,007",820,0,410,58,468,416,19,5,450,414,49,404,146,1,1
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,597,16,193,479,-,254,16,270,206,74,0,268,207,18,139,82,0,0
11-2,Washington,834,57,162,309,-,233,18,251,126,81,0,250,179,43,164,67,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 11,"1,431",73,355,788,0,487,34,521,332,155,0,518,386,61,303,149,0,0
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,102,16,15,145,-,67,13,80,47,12,0,54,38,1,22,31,0,0
12-2,Garrett,14,2,6,48,-,28,2,30,22,0,0,25,16,0,7,10,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,116,18,21,193,0,95,15,110,69,12,0,79,54,1,29,41,0,0
"",,,,,,,,,,,,,,,,,,,
"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTMay 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"11,120",500,"2,683","2,622",-,"2,467","2,076","4,543","1,157",724,4,624,"1,476",88,"1,662","1,277",2,3
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,234,29,52,103,-,78,4,82,19,22,0,53,87,4,27,14,0,0
2-2,Somerset,310,16,57,117,-,70,1,71,23,5,0,55,52,4,30,11,0,0
2-3,Wicomico,874,55,249,677,-,407,11,418,176,1,1,450,361,103,265,91,1,0
2-4,Snow Hill,86,4,40,176,-,105,1,106,38,0,0,98,90,8,63,1,0,0
2-5,Ocean City,0,14,8,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,504",118,406,"1,073",0,660,17,677,256,28,1,656,590,119,385,117,1,0
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,485,20,180,233,-,164,3,167,80,43,2,175,197,7,166,51,0,2
3-3,Kent,21,3,0,41,-,28,2,30,11,7,0,10,27,0,10,4,1,0
3-4,Queen Anne's,38,6,12,70,-,45,4,49,25,3,0,49,55,1,25,19,0,1
3-5,Talbot,67,7,18,95,-,51,2,53,27,9,0,45,60,2,31,19,0,0
3-6,Caroline,65,8,35,68,-,39,4,43,27,0,0,44,47,1,28,12,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,676,44,245,507,0,327,15,342,170,62,2,323,386,11,260,105,1,3
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,71,7,11,175,-,91,9,100,73,60,0,112,81,8,71,38,1,0
4-2,Charles,786,61,333,524,-,280,23,303,203,107,0,270,354,18,255,70,0,0
4-3,St. Mary's,354,20,135,199,-,169,14,183,110,38,0,96,131,6,83,33,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,"1,211",88,479,898,0,540,46,586,386,205,0,478,566,32,409,141,1,0
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"11,671",273,912,"3,139",-,"3,590",888,"4,478","1,725",970,4,956,"2,273",117,"1,873",722,8,9
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"4,096",89,466,"1,434",-,"1,696",417,"2,113",812,602,1,411,671,114,722,612,5,5
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"3,909",46,541,"1,193",-,692,78,"1,335",655,125,0,601,700,78,878,122,2,2
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"16,287",158,"4,263","3,107",-,"1,125",210,"1,335","1,420",239,4,"1,456","1,791",163,"2,617",241,0,0
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,364",54,443,567,-,311,19,330,247,9,1,221,334,30,349,64,1,0
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"2,018",29,872,522,-,247,41,288,240,123,4,233,287,89,440,76,1,2
10-2,Carroll,195,15,43,288,-,101,11,112,126,6,0,135,154,15,115,31,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"2,213",44,915,810,0,348,52,400,366,129,4,368,441,104,555,107,1,2
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,624,32,459,375,-,203,14,217,177,64,3,218,238,16,203,96,1,0
11-2,Washington,627,66,465,331,-,152,8,160,115,46,0,159,231,23,199,73,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 11,"1,251",98,924,706,0,355,22,377,292,110,3,377,469,39,402,169,2,0
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,114,36,11,116,-,90,5,95,54,30,0,50,63,0,32,12,2,0
12-2,Garrett,31,9,7,48,-,15,2,17,14,0,0,13,17,0,19,6,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,145,45,18,164,0,105,7,112,68,30,0,63,80,0,51,18,2,0
"",,,,,,,,,,,,,,,,,,,
"DISTRICT COURT OF MARYLAND - CIVIL CASE ACTIVITY REPORTJune 2019",,,,,,,,,,,,,,,,,,,
"",Landlord-Tenant Cases,Civil Filings*,Civil Dispositions*,,Other Events,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,Notices of,,
District,County,Filed,"DefendantAppeared",Dismissed,Cases,Complaints,"UncontestedJudgments**","ContestedJudgments**(Trials)","TotalJudgments**","Dismissalsat/beforeTrial***","3-507Dismissals***","Jury TrialsPrayed***","SatisfiedJudgments",Writs,"Aids ofExecution","SummonsRenewals","Lien toCircuitCourt","Appeals deNovo","Appeals onthe Record"
"",,,,,,,,,,,,,,,,,,,
1-0,Baltimore City,"10,939",545,"2,341","1,829",-,"2,026",733,"2,759","1,073",351,5,518,"1,467",95,"1,734","1,335",5,2
"",,,,,,,,,,,,,,,,,,,
2-1,Dorchester,214,28,46,81,-,72,8,80,10,5,0,45,74,1,37,9,0,0
2-2,Somerset,211,18,97,62,-,91,11,102,24,4,0,44,80,2,29,11,0,0
2-3,Wicomico,895,46,243,505,-,369,22,391,146,0,0,328,353,41,202,54,0,0
2-4,Snow Hill,71,4,26,112,-,85,1,86,36,0,0,84,69,3,45,11,1,0
2-5,Ocean City,8,4,5,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 2,"1,399",100,417,760,0,617,42,659,216,9,0,501,576,47,313,85,1,0
"",,,,,,,,,,,,,,,,,,,
3-2,Cecil,459,20,198,168,-,175,12,187,73,29,0,111,115,34,103,29,1,0
3-3,Kent,23,1,0,47,-,9,1,10,23,3,0,18,22,0,9,4,0,0
3-4,Queen Anne's,24,4,5,65,-,29,4,33,26,10,0,38,35,2,21,8,1,1
3-5,Talbot,32,21,24,56,-,37,4,41,29,4,0,47,36,1,20,5,0,0
3-6,Caroline,70,8,25,75,-,37,6,43,23,21,0,43,42,0,18,4,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 3,608,54,252,411,0,287,27,314,174,67,0,257,250,37,171,50,2,1
"",,,,,,,,,,,,,,,,,,,
4-1,Calvert,87,21,34,147,-,70,10,80,72,0,0,79,104,18,72,16,2,0
4-2,Charles,712,35,317,508,-,353,24,377,206,9,0,184,350,22,273,64,0,1
4-3,St. Mary's,305,18,106,247,-,131,5,136,86,25,0,86,102,6,113,20,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 4,"1,104",74,457,902,0,554,39,593,364,34,0,349,556,46,458,100,2,1
"",,,,,,,,,,,,,,,,,,,
5-0,Prince George's,"13,094",339,"2,262","3,134",-,"2,952",838,"3,790","1,664",209,2,723,"1,972",207,"1,808",444,7,8
"",,,,,,,,,,,,,,,,,,,
6-0,Montgomery,"3,777",427,104,"1,506",-,"1,291",397,"1,688",783,128,1,305,747,19,758,278,5,2
"",,,,,,,,,,,,,,,,,,,
7-0,Anne Arundel,"4,275",70,624,"1,101",-,535,99,634,543,54,4,542,583,51,577,68,3,1
"",,,,,,,,,,,,,,,,,,,
8-0,Baltimore County,"15,480",170,"4,270","2,555",-,"1,380",169,"1,549","1,167",316,0,"1,235","1,647",116,"2,094",152,6,1
"",,,,,,,,,,,,,,,,,,,
9-0,Harford,"1,262",49,398,533,-,245,41,286,234,0,1,240,300,80,301,76,0,1
"",,,,,,,,,,,,,,,,,,,
10-1,Howard,"1,941",58,"1,134",396,-,244,33,277,243,82,1,199,280,44,298,44,2,2
10-2,Carroll,25,25,63,237,-,159,6,165,117,0,0,122,150,4,119,19,1,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 10,"1,966",83,"1,197",633,0,403,39,442,360,82,1,321,430,48,417,63,3,2
"",,,,,,,,,,,,,,,,,,,
11-1,Frederick,656,36,288,376,-,226,27,253,165,63,0,163,171,3,144,63,2,0
11-2,Washington,815,53,172,253,-,182,18,200,105,88,1,116,170,32,137,36,1,1
"",,,,,,,,,,,,,,,,,,,
"",Total District 11,"1,471",89,460,629,0,408,45,453,270,151,1,279,341,35,281,99,3,1
"",,,,,,,,,,,,,,,,,,,
12-1,Allegany,83,39,7,107,-,61,4,65,38,12,0,39,31,0,40,4,0,0
12-2,Garrett,32,7,7,38,-,18,0,18,16,0,0,11,5,0,17,3,0,0
"",,,,,,,,,,,,,,,,,,,
"",Total District 12,115,46,14,145,0,79,4,83,54,12,0,50,36,0,57,7,0,0
"",,,,,,,,,,,,,,,,,,,
